zone,far_min,far_max,far_mean,far_median,far_stddev,ladu_min,ladu_max,ladu_mean,ladu_median,ladu_stddev,os_min,os_max,os_mean,os_median,os_stddev,far_75,far_80,far_90,ladu_75,ladu_80,ladu_90,os_75,os_80,os_90
A-1,0.07,1.9,0.4,0.37,0.2,781.0,356478.0,13512.68,10228.0,21403.93,27.11,99.36,82.35,84.25,8.69,0.46,0.48,0.61,7555.88,6838.8,5061.3,79.72,78.93,73.15
A-2,0.04,2.37,0.46,0.42,0.22,458.33,60802.0,7965.05,7076.0,5769.87,3.91,100.0,77.65,79.97,11.06,0.56,0.61,0.72,4669.0,4060.2,2718.2,74.19,71.91,65.4
ASD,5.0,15.67,9.11,8.75,3.93,60.42,57596.0,26912.89,26325.0,18642.82,15.85,100.0,54.1,53.87,35.46,11.52,13.03,14.69,13036.16,10978.86,5788.57,30.72,21.8,8.08
B,0.05,14.47,0.65,0.6,0.42,48.5,122559.0,2985.85,2394.5,3304.92,1.38,100.0,70.94,73.47,15.47,0.77,0.82,1.0,1706.0,1574.4,1168.6,66.14,63.81,56.6
BA,0.0,7.47,1.45,1.31,0.93,114.51,267820.0,5214.93,1152.0,18478.34,0.61,100.0,43.26,45.37,32.23,1.85,1.97,2.51,642.86,583.52,484.17,23.88,17.06,6.56
BA-1,0.12,2.34,0.77,0.71,0.38,308.0,132133.0,4731.7,1974.8,14433.52,2.46,100.0,60.3,69.26,23.88,0.92,1.03,1.2,1357.66,1233.0,950.5,49.62,41.55,24.59
BA-2,0.02,3.1,0.94,0.83,0.58,256.64,78591.0,5799.22,1925.0,11516.87,0.0,100.0,57.35,66.69,29.34,1.15,1.37,1.67,995.1,829.67,607.78,41.3,32.27,15.04
BA-3,0.11,2.35,1.07,0.94,0.49,322.0,7540.0,1604.69,1003.0,1383.51,8.53,100.0,51.38,53.18,20.68,1.41,1.45,1.71,770.5,701.4,602.97,36.68,34.14,24.92
BA-4,1.0,2.42,1.39,1.06,0.54,523.26,1061.0,908.59,1002.33,201.56,38.57,65.91,54.29,52.18,9.96,1.41,1.61,2.02,897.67,822.79,673.02,50.69,48.27,43.42
BA-5,0.47,0.7,0.58,0.58,0.11,8328.0,9239.0,8783.5,8783.5,455.5,53.15,69.2,61.17,61.17,8.03,0.64,0.65,0.68,8555.75,8510.2,8419.1,57.16,56.36,54.76
BB,0.15,9.68,2.66,2.41,1.59,108.52,59880.0,4308.77,2114.0,6842.89,0.3,100.0,23.93,20.57,38.85,3.58,3.91,4.55,653.38,575.2,369.67,6.69,3.19,-0.55
BB-1,0.57,3.12,2.27,2.58,0.85,362.83,9877.75,4205.5,3416.11,3887.22,21.48,100.0,55.23,52.45,26.55,2.84,2.87,3.0,505.21,502.21,432.52,34.75,32.79,27.14
BB-2,0.63,4.07,2.13,1.69,1.44,278.72,5968.75,2915.66,2499.5,2341.51,22.69,37.11,8.11,22.69,31.37,2.88,3.12,3.59,1389.11,1167.03,722.88,-6.38,-12.2,-23.83
BC,0.48,4.4,1.76,1.79,0.85,223.24,56398.0,3963.19,722.75,10351.88,1.51,100.0,47.23,45.28,33.57,2.18,2.31,2.49,478.25,423.68,303.63,23.26,13.67,3.4
C,0.19,3.03,0.84,0.77,0.37,340.18,221276.0,2323.3,1678.5,7966.42,0.22,100.0,61.33,65.73,19.78,0.97,1.04,1.31,1128.25,1015.53,792.73,54.36,50.65,39.41
C-1,0.02,53.65,0.99,0.88,0.92,13.0,340438.0,2009.91,1385.75,6272.37,0.1,100.0,58.6,63.03,32.58,1.19,1.28,1.57,905.0,829.2,625.0,50.28,46.1,33.94
C-1A,0.09,2.34,0.88,0.81,0.36,535.09,14409.0,3131.81,1662.0,3375.27,9.65,91.32,56.32,66.27,27.66,1.11,1.14,1.22,1226.33,1192.12,1021.58,34.69,32.93,13.76
C-2,0.07,4.96,1.54,1.3,0.97,144.68,174581.0,4074.01,1020.8,18605.61,9.55,100.0,60.89,60.47,21.45,1.92,2.08,2.69,529.14,473.57,290.66,49.81,44.66,34.22
C-2A,0.47,3.94,1.89,1.62,0.76,256.76,13499.0,1261.02,548.5,2371.41,1.55,100.0,56.29,51.08,22.35,2.5,2.59,2.87,335.74,326.22,288.08,43.03,41.47,38.91
C-2B,0.14,5.94,1.81,1.54,1.16,149.42,155846.0,7029.77,791.43,23471.02,9.77,100.0,52.94,55.64,34.36,2.52,2.57,3.48,439.9,366.18,210.27,41.67,37.18,23.0
C-3,0.0,5.33,1.65,1.44,1.09,137.0,1210316.0,30521.22,885.86,138719.58,8.36,100.0,56.83,60.94,31.19,2.36,2.51,3.2,320.76,302.07,232.12,45.01,41.61,25.02
C-3A,1.59,5.12,3.64,3.99,1.27,250.62,65682.0,13836.52,299.02,25939.71,4.25,75.45,41.36,35.63,28.76,4.62,4.72,4.92,259.49,257.72,254.17,18.12,15.35,9.8
C-3B,0.37,5.5,2.61,2.36,1.75,187.13,150208.0,69100.55,64557.0,49965.78,49.73,100.0,81.16,83.86,18.68,4.12,4.15,4.57,34096.32,21029.18,4322.85,66.91,65.54,59.7
CRDD,0.19,6.56,3.22,3.2,1.78,180.96,91967.0,24707.56,27846.0,24253.35,0.81,96.93,34.48,32.47,37.06,4.82,4.89,5.03,1326.48,560.63,445.26,23.03,16.28,2.13
IA,0.01,0.64,0.33,0.33,0.32,83967.0,255480.0,169723.5,169723.5,85756.5,53.16,99.46,76.31,76.31,23.15,0.48,0.51,0.58,126845.25,118269.6,101118.3,64.74,62.42,57.79
IA-1,0.02,7.91,1.69,1.14,1.55,190.55,191503.0,22312.69,10990.5,32466.3,1.6,100.0,46.6,47.86,26.57,2.21,2.61,3.86,1357.5,1022.48,559.78,28.2,22.18,11.03
IA-2,1.78,2.94,2.36,2.36,0.58,12060.0,36645.0,24352.5,24352.5,12292.5,80.37,80.37,31.42,31.42,48.95,2.65,2.71,2.82,18206.25,16977.0,14518.5,6.94,2.05,-7.74
IB,0.06,7.04,2.38,1.75,1.87,4839.0,235490.0,61410.5,33276.75,62285.95,3.99,100.0,59.8,61.05,32.28,3.49,3.78,4.81,16890.12,15737.6,11332.1,35.82,27.38,17.56
IB-1,3.38,3.38,3.38,3.38,0.0,21347.0,21347.0,21347.0,21347.0,0.0,70.12,70.12,70.12,70.12,0.0,3.38,3.38,3.38,21347.0,21347.0,21347.0,70.12,70.12,70.12
IB-2,0.03,1.38,0.51,0.48,0.27,8654.14,113242.0,37138.05,32800.25,25665.68,14.37,97.52,57.44,53.7,20.57,0.66,0.69,0.77,21477.5,16421.0,11952.4,45.12,41.88,33.64
MXD,0.84,8.79,4.64,4.95,2.53,14274.25,140963.0,52322.81,47325.0,33778.02,25.26,85.99,47.35,44.39,17.03,5.79,6.57,7.94,34401.0,33023.8,27621.25,40.53,35.16,26.74
NP,0.02,9.7,4.11,4.03,2.91,139.83,117359.0,25008.62,8885.25,31395.93,26.29,98.77,53.16,61.17,32.03,5.54,7.23,8.69,215.0,209.66,200.04,32.95,32.22,21.89
O-1,0.1,2.96,0.81,0.71,0.53,443.84,176787.0,17367.54,4248.75,30448.99,11.22,100.0,65.5,68.22,18.72,1.06,1.16,1.44,1471.75,1298.8,873.27,56.02,50.43,38.6
O-2,0.14,3.63,1.8,1.96,1.05,280.25,122416.0,19280.27,3129.0,32419.8,4.91,100.0,42.04,49.9,57.23,2.41,2.48,3.14,947.0,589.04,311.68,17.57,16.66,7.14
O-2A,0.0,4.07,1.84,2.13,1.08,270.82,127795.0,49213.46,21618.0,50634.78,42.25,97.44,59.91,63.25,28.5,2.38,2.45,3.01,484.38,473.01,462.64,52.67,49.67,42.99
O-3,0.79,5.12,2.1,1.89,1.26,198.93,47878.0,9413.04,3219.0,13443.11,0.77,100.0,28.74,45.8,90.28,2.55,2.99,3.91,1034.59,873.27,437.25,21.72,4.89,1.44
O-3A,0.0,19.95,5.08,4.49,5.13,139.45,168161.0,39184.36,30928.08,41234.13,1.95,99.86,-28.47,23.98,252.62,6.44,7.25,9.48,9756.3,8241.31,4547.07,6.88,4.15,2.05
OS,0.0,0.48,0.22,0.05,0.22,83345.0,3351920.0,713760.43,278786.0,1088548.62,83.26,99.94,94.06,96.4,5.92,0.45,0.47,0.48,147604.5,110169.6,84465.8,91.08,88.67,85.54
SD-1,0.06,3.95,2.01,2.01,1.08,113.42,32681.0,8872.21,347.89,11106.45,49.74,100.0,69.21,63.2,18.73,2.57,2.66,3.02,241.21,225.71,184.65,53.35,53.1,52.13
SD-10(F),0.63,0.63,0.63,0.63,0.0,79919.0,79919.0,79919.0,79919.0,0.0,36.79,36.79,36.79,36.79,0.0,0.63,0.63,0.63,79919.0,79919.0,79919.0,36.79,36.79,36.79
SD-10(H),0.56,1.65,0.98,0.88,0.29,756.0,37844.0,12253.33,5669.5,12261.72,11.33,78.2,32.91,29.77,29.3,1.12,1.16,1.33,3915.86,1867.35,1024.44,20.49,18.27,11.94
SD-11,0.29,2.2,1.43,1.61,0.71,11678.0,29620.0,20735.0,20821.0,6650.46,3.58,71.41,39.42,41.35,31.55,1.91,1.97,2.08,16418.75,15470.6,13574.3,10.26,8.93,6.25
SD-12,0.09,0.09,0.09,0.09,0.0,16306.17,16306.17,16306.17,16306.17,0.0,35.61,35.61,35.61,35.61,0.0,0.09,0.09,0.09,16306.17,16306.17,16306.17,35.61,35.61,35.61
SD-13,0.48,0.48,0.48,0.48,0.0,54972.0,54972.0,54972.0,54972.0,0.0,89.17,89.17,89.17,89.17,0.0,0.48,0.48,0.48,54972.0,54972.0,54972.0,89.17,89.17,89.17
SD-14,0.21,3.32,1.01,0.85,0.69,204.89,6229.5,1804.25,1333.0,1460.97,38.97,94.35,69.4,70.54,16.27,1.22,1.27,1.63,966.62,930.4,594.95,56.03,53.3,49.59
SD-15,2.58,3.04,2.81,2.81,0.23,14833.0,151257.0,83045.0,83045.0,68212.0,11.22,66.33,38.77,38.77,27.55,2.92,2.95,2.99,48939.0,42117.8,28475.4,25.0,22.24,16.73
SD-2,0.36,1.67,0.76,0.68,0.33,773.44,6966.0,2137.83,1950.0,1179.32,27.93,99.1,69.79,69.03,14.7,0.98,1.08,1.17,1441.5,1329.5,1061.0,61.12,59.2,54.81
SD-3,0.04,2.05,0.82,0.38,0.88,2936.5,345417.0,131159.17,45124.0,152478.98,48.66,92.39,74.73,83.13,18.82,1.21,1.38,1.72,24030.25,19811.5,11374.0,65.9,62.45,55.55
SD-4,1.8,4.29,3.14,3.31,0.85,315.33,64558.0,21196.93,14403.0,22452.78,34.46,54.86,44.41,43.85,7.68,3.63,3.76,4.03,9156.67,7388.4,3851.87,37.88,37.2,35.83
SD-4A,0.81,1.4,1.1,1.1,0.29,521.22,763.72,642.47,642.47,121.25,65.99,94.38,80.19,80.19,14.2,1.25,1.28,1.34,581.84,569.72,545.47,73.09,71.67,68.83
SD-5,1.32,2.05,1.69,1.69,0.36,44677.0,100487.0,72582.0,72582.0,27905.0,51.38,51.72,51.55,51.55,0.17,1.87,1.9,1.98,58629.5,55839.0,50258.0,51.46,51.45,51.41
SD-6,0.58,4.71,2.13,2.07,1.31,149.1,26055.0,13642.44,21600.0,11586.57,28.44,77.49,43.56,39.24,24.5,2.64,2.86,3.68,430.0,326.19,213.83,32.29,29.98,16.88
SD-7,1.98,7.69,4.37,3.44,2.42,2994.5,143680.0,51794.17,8708.0,65014.95,1.15,94.61,9.71,1.15,66.1,5.56,5.99,6.84,5851.25,5279.9,4137.2,-32.74,-39.51,-53.07
SD-8,0.43,3.95,1.77,1.65,0.87,179.17,185878.0,31759.71,13249.5,46984.02,2.07,95.36,44.49,40.79,27.65,2.36,2.52,2.57,6181.16,794.51,322.17,26.66,23.38,8.95
SD-8A,0.43,1.65,0.99,0.96,0.34,563.69,13340.0,6793.55,6870.0,5378.22,1.97,91.42,45.31,55.68,34.68,1.09,1.18,1.46,1312.5,1096.37,790.0,9.04,6.93,1.77
SD-9,0.38,1.9,1.03,0.93,0.4,475.0,23812.0,2737.9,1360.0,4573.17,6.1,80.57,51.2,57.75,23.09,1.28,1.35,1.57,773.33,738.4,565.95,40.61,37.95,22.93
